count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
170, 0,  9.881, -44.050,  0.000,  0.000,  0.000, -0.058, 
171, 0, 10.279, -44.063,  0.000,  0.000,  0.000, -0.024, 
172, 0, 10.663, -44.071,  0.000,  0.000,  0.000, -0.019, 
173, 0, 11.053, -44.082,  0.000,  0.000,  0.000, -0.032, 
174, 0, 11.437, -44.097,  0.000,  0.000,  0.000, -0.038, 
175, 0, 11.819, -44.112,  0.000,  0.000,  0.000, -0.038, 
176, 0, 12.210, -44.131,  0.000,  0.000,  0.000, -0.047, 
177, 0, 12.601, -44.152,  0.000,  0.000,  0.000, -0.054, 
178, 0, 12.991, -44.177,  0.000,  0.000,  0.000, -0.060, 
179, 0, 13.381, -44.202,  0.000,  0.000,  0.000, -0.067, 
180, 0, 13.768, -44.232,  0.000,  0.000,  0.000, -0.076, 
181, 0, 14.156, -44.263,  0.000,  0.000,  0.000, -0.078, 
182, 0, 14.541, -44.294,  0.000,  0.000,  0.000, -0.083, 
183, 0, 14.928, -44.320,  0.000,  0.000,  0.000, -0.063, 
184, 0, 15.316, -44.334,  0.000,  0.000,  0.000, -0.036, 
185, 0, 15.695, -44.342,  0.000,  0.000,  0.000, -0.020, 
186, 0, 16.082, -44.346,  0.000,  0.000,  0.000, -0.010, 
187, 0, 16.477, -44.347,  0.000,  0.000,  0.000, -0.001, 
188, 0, 16.856, -44.345,  0.000,  0.000, -0.000,  0.005, 
189, 0, 17.242, -44.339,  0.000,  0.000, -0.000,  0.019, 
190, 0, 17.629, -44.323,  0.000,  0.000, -0.000,  0.043, 
191, 0, 18.016, -44.303,  0.000,  0.000, -0.000,  0.051, 
192, 0, 18.403, -44.282,  0.000,  0.000, -0.000,  0.055, 
193, 0, 18.791, -44.254,  0.000,  0.000, -0.000,  0.076, 
194, 0, 19.184, -44.216,  0.000,  0.000, -0.000,  0.099, 
195, 0, 19.539, -44.172,  0.000,  0.000, -0.000,  0.125, 
196, 0, 19.921, -44.111,  0.000,  0.000, -0.000,  0.167, 
197, 0, 20.300, -44.030,  0.000,  0.000, -0.000,  0.212, 
198, 0, 20.675, -43.934,  0.000,  0.000, -0.000,  0.253, 
199, 0, 21.049, -43.827,  0.000,  0.000, -0.000,  0.279, 
200, 0, 21.414, -43.701,  0.000,  0.000, -0.000,  0.338, 
201, 0, 21.775, -43.551,  0.000,  0.000, -0.000,  0.397, 
202, 0, 22.117, -43.405,  0.000,  0.000, -0.000,  0.400, 
203, 0, 22.448, -43.281,  0.000,  0.000, -0.000,  0.359, 
204, 0, 22.782, -43.210,  0.000,  0.000, -0.000,  0.200, 
205, 0, 23.171, -43.216,  0.000,  0.000, -0.000,  0.000, 
206, 0, 23.557, -43.223,  0.000,  0.000,  0.000, -0.016, 
207, 0, 23.944, -43.231,  0.000,  0.000,  0.000, -0.020, 
208, 0, 24.320, -43.245,  0.000,  0.000,  0.000, -0.039, 
209, 0, 24.693, -43.265,  0.000,  0.000,  0.000, -0.058, 
210, 0, 25.052, -43.281,  0.000,  0.000,  0.000, -0.044, 
211, 0, 25.399, -43.268,  0.000,  0.000, -0.000,  0.047, 
212, 0, 25.738, -43.202,  0.000,  0.000, -0.000,  0.206, 
213, 0, 26.085, -43.043,  0.000,  0.000, -0.000,  0.448, 
