count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
40, 0, -17.100, -126.045,  0.000, 
40, 0, -21.725, -131.000,  0.000, 
40, 0, -21.389, -130.377,  0.000, 

41, 0, -17.226, -129.947,  0.000, 
41, 0, -15.933, -122.613,  0.000, 
41, 0, -20.538, -129.470,  0.000, 
41, 0, -12.612, -124.158,  0.000, 
41, 0, -17.114, -127.122,  0.000, 
41, 0, -21.452, -130.180,  0.000, 
41, 0, -17.223, -129.427,  0.000, 
41, 0, -29.904, -129.719,  0.000, 
41, 0, -9.771, -127.593,  0.000, 
41, 0, -17.473, -131.663,  0.000, 
41, 0, -17.272, -124.233,  0.000, 
41, 0, -20.541, -127.873,  0.000, 

42, 0, -17.229, -129.468,  0.000, 
42, 0, -15.921, -122.607,  0.000, 
42, 0, -17.253, -129.949,  0.000, 
42, 0, -12.523, -124.171,  0.000, 
42, 0, -17.222, -128.607,  0.000, 
42, 0, -21.793, -130.463,  0.000, 
42, 0, -20.545, -127.869,  0.000, 
42, 0, -10.981, -126.033,  0.000, 
42, 0, -21.807, -131.087,  0.000, 
42, 0, -9.726, -127.648,  0.000, 
42, 0, -12.369, -124.221,  0.000, 
42, 0, -17.519, -97.446,  0.000, 

43, 0, -17.265, -129.394,  0.000, 
43, 0, -15.974, -122.562,  0.000, 
43, 0, -17.249, -129.945,  0.000, 
43, 0, -12.670, -124.156,  0.000, 
43, 0, -11.085, -125.954,  0.000, 
43, 0, -21.799, -130.699,  0.000, 
43, 0, -9.761, -127.576,  0.000, 
43, 0, -12.579, -124.150,  0.000, 
43, 0, -17.019, -124.523,  0.000, 
43, 0, -12.270, -119.494,  0.000, 

44, 0, -17.264, -129.389,  0.000, 
44, 0, -16.015, -122.582,  0.000, 
44, 0, -17.268, -129.933,  0.000, 
44, 0, -9.818, -127.525,  0.000, 
44, 0, -12.649, -124.155,  0.000, 
44, 0, -17.235, -127.179,  0.000, 
44, 0, -18.093, -97.464,  0.000, 
44, 0, -12.370, -119.477,  0.000, 

45, 0, -17.265, -129.235,  0.000, 
45, 0, -16.127, -122.608,  0.000, 
45, 0, -17.269, -129.934,  0.000, 
45, 0, -9.766, -127.553,  0.000, 
45, 0, -12.611, -124.129,  0.000, 
45, 0, -17.270, -128.520,  0.000, 
45, 0, -17.540, -97.349,  0.000, 
45, 0, -12.343, -119.443,  0.000, 
45, 0, -11.114, -125.941,  0.000, 

46, 0, -17.227, -128.945,  0.000, 
46, 0, -15.906, -122.556,  0.000, 
46, 0, -17.258, -129.461,  0.000, 
46, 0, -9.750, -127.549,  0.000, 
46, 0, -12.569, -124.177,  0.000, 
46, 0, -12.042, -119.489,  0.000, 
46, 0, -11.011, -125.999,  0.000, 
46, 0, -17.171, -128.163,  0.000, 

47, 0, -17.220, -128.945,  0.000, 
47, 0, -15.940, -122.564,  0.000, 
47, 0, -9.793, -127.597,  0.000, 
47, 0, -12.605, -124.164,  0.000, 
47, 0, -12.124, -119.480,  0.000, 
47, 0, -11.060, -125.962,  0.000, 
47, 0, -17.361, -124.204,  0.000, 
47, 0, -17.313, -129.260,  0.000, 
47, 0, -3.875, -127.491,  0.000, 
47, 0, -22.863, -122.688,  0.000, 

48, 0, -17.224, -128.610,  0.000, 
48, 0, -15.863, -122.542,  0.000, 
48, 0, -9.777, -127.625,  0.000, 
48, 0, -12.638, -124.141,  0.000, 
48, 0, -12.043, -119.480,  0.000, 
48, 0, -11.093, -125.905,  0.000, 
48, 0, -17.161, -127.149,  0.000, 
48, 0, -17.167, -127.852,  0.000, 
48, 0, -17.201, -128.306,  0.000, 
48, 0, -16.975, -124.115,  0.000, 
48, 0, -19.126, -126.850,  0.000, 

49, 0, -17.197, -128.179,  0.000, 
49, 0, -16.029, -122.566,  0.000, 
49, 0, -9.808, -127.448,  0.000, 
49, 0, -12.709, -124.108,  0.000, 
49, 0, -12.159, -119.436,  0.000, 
49, 0, -11.146, -126.003,  0.000, 
49, 0, -17.187, -127.078,  0.000, 
49, 0, -17.179, -127.797,  0.000, 
49, 0, -17.088, -124.833,  0.000, 
49, 0, -19.139, -126.889,  0.000, 
49, 0, -17.214, -128.490,  0.000, 
49, 0, -20.049, -127.418,  0.000, 
49, 0, -11.127, -125.856,  0.000, 
49, 0, -17.403, -124.218,  0.000, 

50, 0, -17.194, -127.739,  0.000, 
50, 0, -16.003, -122.552,  0.000, 
50, 0, -9.831, -127.380,  0.000, 
50, 0, -12.655, -124.069,  0.000, 
50, 0, -12.404, -119.353,  0.000, 
50, 0, -11.174, -125.927,  0.000, 
50, 0, -17.181, -126.696,  0.000, 
50, 0, -17.092, -124.248,  0.000, 
50, 0, -17.230, -123.822,  0.000, 
50, 0, -18.266, -97.406,  0.000, 
50, 0, -12.562, -119.346,  0.000, 
50, 0, -17.151, -124.908,  0.000, 

51, 0, -17.194, -127.473,  0.000, 
51, 0, -16.121, -122.596,  0.000, 
51, 0, -9.840, -127.347,  0.000, 
51, 0, -12.713, -124.075,  0.000, 
51, 0, -12.281, -119.414,  0.000, 
51, 0, -11.171, -125.807,  0.000, 
51, 0, -17.060, -124.239,  0.000, 
51, 0, -18.321, -97.421,  0.000, 
51, 0, -17.081, -124.836,  0.000, 
51, 0, -17.171, -126.135,  0.000, 

52, 0, -17.182, -127.190,  0.000, 
52, 0, -16.002, -122.553,  0.000, 
52, 0, -9.813, -126.947,  0.000, 
52, 0, -12.635, -124.096,  0.000, 
52, 0, -12.231, -119.384,  0.000, 
52, 0, -11.109, -125.856,  0.000, 
52, 0, -17.019, -124.412,  0.000, 
52, 0, -18.263, -97.454,  0.000, 
52, 0, -17.178, -126.831,  0.000, 
52, 0, -9.827, -127.411,  0.000, 
52, 0, -12.698, -124.021,  0.000, 
52, 0, -9.851, -125.901,  0.000, 
52, 0, -17.309, -124.090,  0.000, 

53, 0, -17.156, -126.512,  0.000, 
53, 0, -15.858, -122.506,  0.000, 
